x-axis,,
second,Geoscope,Accelerometer
-2.18E+00,-4.12E-03,1.19E-02
-2.17E+00,3.92E-03,2.00E-02
-2.17E+00,3.92E-03,1.19E-02
-2.16E+00,3.92E-03,1.19E-02
-2.16E+00,-4.12E-03,3.87E-03
-2.15E+00,-4.12E-03,1.19E-02
-2.15E+00,3.92E-03,2.00E-02
-2.14E+00,3.92E-03,1.19E-02
-2.14E+00,-4.12E-03,3.87E-03
-2.13E+00,-1.22E-02,3.87E-03
-2.13E+00,-4.12E-03,3.87E-03
-2.12E+00,-4.12E-03,2.00E-02
-2.12E+00,3.92E-03,2.00E-02
-2.11E+00,1.20E-02,2.00E-02
-2.11E+00,3.92E-03,3.87E-03
-2.10E+00,-4.12E-03,-4.17E-03
-2.10E+00,-1.22E-02,1.19E-02
-2.09E+00,-4.12E-03,1.19E-02
-2.09E+00,3.92E-03,2.00E-02
-2.08E+00,3.92E-03,2.00E-02
-2.08E+00,3.92E-03,1.19E-02
-2.07E+00,-4.12E-03,3.87E-03
-2.07E+00,-4.12E-03,2.00E-02
-2.06E+00,-4.12E-03,2.00E-02
-2.06E+00,3.92E-03,1.19E-02
-2.05E+00,3.92E-03,3.87E-03
-2.05E+00,-1.22E-02,3.87E-03
-2.04E+00,-1.22E-02,3.87E-03
-2.04E+00,-4.12E-03,1.19E-02
-2.03E+00,3.92E-03,2.00E-02
-2.03E+00,1.20E-02,2.00E-02
-2.02E+00,3.92E-03,1.19E-02
-2.02E+00,-4.12E-03,3.87E-03
-2.01E+00,-1.22E-02,1.19E-02
-2.01E+00,-4.12E-03,1.19E-02
-2.00E+00,-4.12E-03,1.19E-02
-2.00E+00,3.92E-03,1.19E-02
-1.99E+00,3.92E-03,1.19E-02
-1.99E+00,-4.12E-03,3.87E-03
-1.98E+00,-4.12E-03,2.00E-02
-1.98E+00,-4.12E-03,2.00E-02
-1.97E+00,3.92E-03,1.19E-02
-1.97E+00,3.92E-03,2.00E-02
-1.96E+00,-4.12E-03,3.87E-03
-1.96E+00,-4.12E-03,1.19E-02
-1.95E+00,-1.22E-02,1.19E-02
-1.95E+00,-4.12E-03,1.19E-02
-1.94E+00,3.92E-03,2.00E-02
-1.94E+00,3.92E-03,1.19E-02
-1.93E+00,-4.12E-03,3.87E-03
